N=50, rate=25.00% 
N=100, rate=65.00% 
N=150, rate=35.00% 
N=200, rate=65.00% 
N=250, rate=60.00% 
N=300, rate=50.00% 
N=350, rate=60.00% 
N=400, rate=65.00% 
N=450, rate=60.00% 
N=500, rate=55.00% 
N=550, rate=70.00% 
N=600, rate=65.00% 
N=650, rate=70.00% 
N=700, rate=60.00% 
N=750, rate=65.00% 
N=800, rate=65.00% 
N=850, rate=65.00% 
N=900, rate=55.00% 
N=950, rate=60.00% 
N=1000, rate=60.00% 
N=1050, rate=60.00% 
N=1100, rate=60.00% 
N=1150, rate=65.00% 
N=1200, rate=60.00% 
N=1250, rate=65.00% 
