N=50, k=7, rate=14.00% 
N=100, k=6, rate=6.00% 
N=150, k=11, rate=7.33% 
N=200, k=8, rate=4.00% 
N=250, k=12, rate=4.80% 
N=300, k=14, rate=4.67% 
N=350, k=19, rate=5.43% 
N=400, k=21, rate=5.25% 
N=450, k=25, rate=5.56% 
N=500, k=27, rate=5.40% 
N=550, k=29, rate=5.27% 
N=600, k=32, rate=5.33% 
N=650, k=35, rate=5.38% 
N=700, k=30, rate=4.29% 
N=750, k=24, rate=3.20% 
N=800, k=25, rate=3.12% 
N=850, k=26, rate=3.06% 
N=900, k=29, rate=3.22% 
N=950, k=30, rate=3.16% 
N=1000, k=32, rate=3.20% 
N=1050, k=33, rate=3.14% 
N=1100, k=34, rate=3.09% 
N=1150, k=36, rate=3.13% 
N=1200, k=36, rate=3.00% 
N=1250, k=38, rate=3.04% 
